country,total,beer,wine,spirits,other alcohols
Afghanistan,0.01,0.0,0.0,0.01,0.0
Albania,4.4,1.75,1.15,1.43,0.08
Algeria,0.59,0.31,0.2,0.08,0.0
Andorra,10.99,3.59,4.98,2.32,0.0
Angola,5.84,3.78,0.72,1.27,0.08
Antigua and Barbuda,11.88,2.97,3.95,4.55,0.41
Argentina,7.95,3.62,2.88,0.72,0.72
Armenia,3.77,0.52,0.46,2.78,0.01
Australia,9.51,3.71,3.67,1.32,0.81
Austria,11.9,6.3,3.7,1.9,0.0
Azerbaijan,1.38,0.36,0.06,0.94,0.01
Bahrain,1.18,0.4,0.11,0.66,0.01
Bangladesh,0.0,0.0,0.0,0.0,0.0
Barbados,9.94,3.66,1.36,4.75,0.17
Belarus,10.57,2.26,0.98,4.67,2.66
Belgium,9.15,4.35,3.41,1.09,0.3
Belize,5.93,3.88,0.68,1.19,0.17
Benin,1.25,0.81,0.02,0.2,0.22
Bhutan,0.07,0.01,0.05,0.0,0.0
Bolivia,2.98,2.22,0.14,0.54,0.08
Bosnia and Herzegovina,5.46,4.19,0.47,0.62,0.17
Botswana,5.98,2.93,0.46,0.96,1.64
Brazil,6.12,3.84,0.24,2.0,0.04
Brunei,0.69,0.66,0.04,0.0,0.0
Bulgaria,11.18,4.44,1.72,4.96,0.06
Burkina Faso,7.28,1.0,0.08,0.31,5.88
Burma,2.06,0.5,0.02,1.55,0.0
Burundi,4.07,1.84,0.0,0.0,2.23
Cabo Verde,4.7,2.28,1.82,0.6,0.0
Cambodia,4.56,4.12,0.03,0.41,0.0
Cameroon,4.09,2.36,0.16,0.01,1.56
Canada,8.0,3.5,2.0,2.1,0.4
Central African Republic,0.94,0.55,0.04,0.02,0.33
Chad,0.55,0.37,0.01,0.01,0.16
Chile,7.8,2.76,2.61,2.43,0.0
China,4.48,1.66,0.18,2.63,0.0
Colombia,4.09,3.09,0.06,0.92,0.02
Comoros,0.18,0.04,0.07,0.07,0.0
Costa Rica,3.07,2.17,0.15,0.36,0.39
Cote d,1.7,1.13,0.33,0.2,0.04
Croatia,9.64,4.75,3.52,1.37,0.36
Cuba,4.7,1.77,0.23,2.69,0.01
Cyprus,9.59,2.85,2.72,4.02,0.0
Czechia,12.73,6.77,2.73,3.24,0.0
Democratic Republic of the Congo,0.56,0.5,0.01,0.05,0.0
Denmark,9.16,3.42,4.08,1.66,0.0
Djibouti,0.21,0.05,0.02,0.14,0.0
Dominica,6.32,1.64,0.29,4.39,0.0
Dominican Republic,5.56,3.15,0.17,2.18,0.06
Ecuador,3.05,2.32,0.09,0.61,0.03
Egypt,0.14,0.09,0.01,0.04,0.0
El Salvador,2.94,1.5,0.06,1.37,0.0
Equatorial Guinea,6.11,3.83,1.24,0.99,0.05
Eritrea,0.93,0.42,0.0,0.0,0.51
Estonia,11.65,4.0,1.92,4.6,1.13
Eswatini,7.68,2.45,0.06,0.0,5.17
Ethiopia,1.16,0.92,0.0,0.2,0.03
Federated States of Micronesia,1.59,0.92,0.13,0.52,0.01
Fiji,2.71,1.64,0.29,0.79,0.0
Finland,8.23,3.76,1.59,1.96,0.91
France,11.44,2.52,6.44,2.3,0.18
Gabon,6.47,5.31,0.62,0.5,0.04
Georgia,7.45,1.71,3.19,2.52,0.02
Germany,10.56,5.57,3.02,1.97,0.0
Ghana,1.59,0.53,0.05,0.39,0.61
Greece,6.33,2.13,2.66,1.45,0.08
Grenada,8.62,3.54,0.56,4.21,0.31
Guatemala,1.63,0.9,0.05,0.68,0.01
Guinea,0.33,0.29,0.01,0.03,0.0
Guinea-Bissau,3.21,0.41,0.98,0.54,1.28
Guyana,5.11,2.75,0.04,2.3,0.02
Haiti,2.85,0.55,0.03,2.26,0.0
Holy See,nan,nan,nan,nan,nan
Honduras,2.73,1.6,0.04,1.09,0.0
Hungary,10.79,3.96,3.33,3.5,0.0
Iceland,7.72,4.39,2.11,1.22,0.0
India,3.09,0.23,0.0,2.85,0.0
Indonesia,0.08,0.06,0.01,0.02,0.0
Iran,0.02,0.0,0.0,0.02,0.0
Iraq,0.16,0.11,0.0,0.04,0.0
Ireland,10.91,4.92,2.88,2.29,0.82
Israel,3.07,1.78,0.08,1.16,0.04
Italy,7.65,1.99,4.83,0.83,0.0
Jamaica,3.46,1.19,0.25,1.66,0.35
Japan,8.36,1.35,0.29,1.63,5.09
Jordan,0.25,0.06,0.0,0.19,0.0
Kazakhstan,3.73,2.52,0.16,1.05,0.0
Kenya,1.68,0.81,0.04,0.81,0.03
Kiribati,0.43,0.26,0.0,0.17,0.0
Kosovo,nan,nan,nan,nan,nan
Kuwait,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,4.02,0.43,0.23,3.35,0.0
Laos,8.15,3.62,0.07,4.46,0.0
Latvia,12.9,4.9,1.7,5.3,1.0
Lebanon,1.14,0.38,0.21,0.53,0.02
Lesotho,3.56,1.98,0.44,0.31,0.82
Liberia,3.12,0.38,0.44,2.28,0.02
Libya,0.01,0.0,0.01,0.0,0.0
Liechtenstein,nan,nan,nan,nan,nan
Lithuania,11.93,4.61,0.88,4.96,1.48
Luxembourg,11.0,4.04,4.73,2.14,0.0
Madagascar,0.89,0.5,0.07,0.32,0.0
Malawi,2.04,0.08,0.0,0.25,1.7
Malaysia,0.64,0.48,0.04,0.11,0.01
Maldives,1.38,0.33,0.59,0.45,0.0
Mali,0.6,0.09,0.0,0.02,0.49
Malta,8.07,2.8,2.34,2.51,0.42
Marshall Islands,nan,nan,nan,nan,nan
Mauritania,0.0,0.0,0.0,0.0,0.0
Mauritius,3.39,1.94,0.23,0.88,0.03
Mexico,4.25,3.72,0.19,0.19,0.15
Moldova,7.45,1.53,3.57,2.25,0.1
Monaco,nan,nan,nan,nan,nan
Mongolia,5.46,2.18,1.46,1.82,0.0
Montenegro,9.91,3.83,2.68,3.22,0.16
Morocco,0.51,0.18,0.24,0.09,0.0
Mozambique,1.46,1.03,0.22,0.21,0.0
Namibia,2.38,1.37,0.16,0.53,0.32
Nauru,2.44,0.54,0.09,1.81,0.0
Nepal,0.36,0.22,0.0,0.13,0.0
Netherlands,8.23,3.95,2.92,1.36,0.0
New Zealand,9.17,3.41,2.88,1.62,1.26
Nicaragua,3.69,1.57,0.02,2.1,0.0
Niger,0.11,0.04,0.01,0.06,0.0
Nigeria,4.49,0.73,0.09,0.4,3.27
North Korea,3.61,0.12,0.0,3.48,0.0
North Macedonia,3.9,1.93,1.03,0.9,0.03
Norway,6.05,2.63,2.23,1.0,0.19
Oman,0.47,0.17,0.02,0.29,0.0
Pakistan,0.04,0.0,0.0,0.04,0.0
Palau,nan,nan,nan,nan,nan
Panama,6.54,5.29,0.02,1.2,0.02
Papua New Guinea,1.26,0.6,0.06,0.6,0.0
Paraguay,5.47,3.27,0.59,1.59,0.03
Peru,5.74,3.01,0.46,2.26,0.01
Philippines,4.85,1.47,0.03,3.34,0.01
Poland,10.96,5.72,0.88,4.36,0.0
Portugal,10.37,2.62,6.04,1.34,0.37
Qatar,0.96,0.29,0.07,0.59,0.01
Republic of the Congo,5.74,5.11,0.1,0.52,0.01
Romania,10.96,5.33,3.38,2.25,0.0
Russia,7.29,3.04,0.97,3.16,0.12
Rwanda,6.35,0.23,0.03,0.09,6.0
Saint Kitts and Nevis,8.84,3.73,1.02,3.89,0.21
Saint Lucia,9.3,3.21,0.4,5.1,0.6
Saint Vincent and the Grenadines,7.48,2.52,0.24,4.48,0.23
Samoa,2.18,2.01,0.0,0.17,0.0
San Marino,nan,nan,nan,nan,nan
Sao Tome and Principe,4.23,0.42,3.58,0.23,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0
Senegal,0.25,0.21,0.02,0.02,0.0
Serbia,7.45,3.24,1.62,2.37,0.22
Seychelles,9.48,4.11,0.49,4.62,0.25
Sierra Leone,3.22,0.17,0.01,0.15,2.9
Singapore,1.81,1.26,0.27,0.24,0.04
Slovakia,10.3,4.14,2.01,4.14,0.0
Slovenia,11.05,4.54,5.26,1.26,0.0
Solomon Islands,1.19,1.1,0.06,0.02,0.0
Somalia,0.0,0.0,0.0,0.0,0.0
South Korea,7.74,1.72,0.15,0.22,5.66
South Sudan,nan,nan,nan,nan,nan
Spain,10.72,4.67,3.52,2.34,0.19
Sri Lanka,2.58,0.22,0.01,2.32,0.03
Sudan,1.93,0.0,0.0,0.29,1.63
Suriname,6.6,3.4,0.14,2.87,0.18
Sweden,7.1,2.6,3.4,1.0,0.1
Switzerland,9.41,3.17,4.35,1.76,0.12
Syria,0.13,0.02,0.0,0.11,0.0
Tajikistan,0.85,0.38,0.01,0.45,0.0
Tanzania,7.81,0.74,0.09,0.38,6.6
Thailand,6.86,1.85,0.23,4.78,0.0
The Bahamas,9.48,3.66,1.43,4.08,0.31
The Gambia,2.67,0.21,0.0,0.02,2.44
Timor-Leste,0.41,0.27,0.09,0.05,0.0
Togo,1.4,0.78,0.09,0.2,0.33
Tonga,0.31,0.03,0.17,0.11,0.0
Trinidad and Tobago,5.81,2.92,0.16,2.65,0.09
Tunisia,1.51,0.99,0.32,0.17,0.03
Turkey,1.18,0.67,0.16,0.35,0.0
Turkmenistan,2.88,0.65,1.25,0.98,0.0
Tuvalu,0.93,0.01,0.69,0.22,0.0
Uganda,6.82,0.85,0.01,0.5,5.46
Ukraine,5.69,2.44,0.32,2.88,0.05
United Arab Emirates,2.03,0.21,0.14,1.65,0.02
United Kingdom,9.8,3.53,3.3,2.35,0.61
United States,8.93,3.97,1.67,3.29,0.0
Uruguay,5.42,1.86,2.86,0.71,0.0
Uzbekistan,2.45,0.18,0.09,2.19,0.0
Vanuatu,1.6,0.34,0.39,0.87,0.0
Venezuela,2.51,1.54,0.01,0.92,0.03
Vietnam,3.41,3.18,0.02,0.21,0.0
Yemen,0.02,0.02,0.0,0.0,0.0
Zambia,3.82,1.26,0.04,0.36,2.16
Zimbabwe,3.11,1.2,0.05,0.39,1.47
