country,improved_urban,improved_rural,improved_total,unimproved_urban,unimproved_rural,unimproved_total
Afghanistan,100.0,68.3,76.5,0.0,31.7,23.5
Albania,97.3,96.4,97.0,2.7,3.6,3.0
Algeria,99.6,98.8,99.4,0.4,1.2,0.6
Andorra,100.0,100.0,100.0,0.0,0.0,0.0
Angola,81.3,36.5,66.5,18.7,63.5,33.5
Antigua and Barbuda,nan,nan,96.7,nan,nan,3.2
Argentina,99.8,nan,nan,0.2,nan,nan
Armenia,100.0,100.0,100.0,0.0,0.0,0.0
Australia,100.0,100.0,100.0,0.0,0.0,0.0
Austria,100.0,100.0,100.0,0.0,0.0,0.0
Azerbaijan,100.0,93.3,97.1,0.0,6.7,2.9
Bahrain,nan,nan,100.0,nan,nan,0.0
Bangladesh,99.0,98.7,98.9,1.0,1.3,1.1
Barbados,nan,nan,98.8,nan,nan,2.0
Belarus,100.0,99.6,99.9,0.0,0.4,0.1
Belgium,100.0,100.0,100.0,0.0,0.0,0.0
Belize,100.0,99.4,99.7,0.0,0.6,0.3
Benin,79.0,70.8,74.7,21.0,29.2,25.3
Bhutan,99.5,100.0,99.8,0.5,0.0,0.2
Bolivia,99.2,80.2,93.5,0.8,19.8,6.5
Bosnia and Herzegovina,99.9,100.0,99.9,0.1,0.0,0.1
Botswana,98.1,96.9,99.4,0.2,3.1,0.6
Brazil,99.8,96.9,99.4,0.2,3.1,0.6
Brunei,99.7,nan,99.9,0.4,0.0,0.1
Bulgaria,99.5,97.4,99.0,0.5,2.6,1.0
Burkina Faso,94.7,71.3,78.5,5.3,28.7,21.5
Burma,95.4,80.7,85.3,4.6,19.3,14.7
Burundi,98.7,78.9,81.6,1.3,21.1,18.4
Cabo Verde,100.0,90.0,96.7,0.0,10.0,3.3
Cambodia,99.3,80.6,85.1,0.7,19.4,14.9
Cameroon,95.1,56.2,78.6,4.9,43.8,21.4
Canada,99.3,99.1,99.2,0.7,0.9,0.8
Central African Republic,83.9,47.5,62.9,16.1,52.5,37.1
Chad,90.2,51.9,60.9,9.8,48.1,39.1
Chile,100.0,100.0,100.0,0.0,0.0,0.0
China,97.3,91.5,95.1,2.7,8.5,4.9
Colombia,100.0,87.5,97.7,0.0,12.5,2.3
Comoros,97.4,88.5,91.0,2.6,11.5,8.9
Costa Rica,100.0,100.0,100.0,0.0,0.0,0.0
Cote d,89.9,69.1,79.8,10.1,30.9,20.2
Croatia,nan,nan,100.0,nan,nan,0.0
Cuba,98.9,97.0,98.5,1.1,3.0,1.5
Cyprus,99.7,99.8,99.8,0.3,0.2,0.2
Czechia,99.9,99.8,99.9,0.1,0.2,0.1
Democratic Republic of the Congo,88.8,34.7,59.4,11.2,65.3,40.6
Denmark,100.0,100.0,100.0,0.0,0.0,0.0
Djibouti,99.7,59.3,90.8,0.3,40.7,9.2
Dominica,95.7,nan,nan,4.3,nan,nan
Dominican Republic,98.3,91.7,97.2,1.7,8.3,2.8
Ecuador,100.0,87.1,95.4,0.0,12.9,4.6
Egypt,99.7,99.7,99.7,0.3,0.3,0.3
El Salvador,99.6,94.2,98.2,0.4,5.8,1.8
Equatorial Guinea,81.7,32.1,67.6,18.3,67.9,32.4
Eritrea,73.2,53.3,57.8,26.8,46.7,42.2
Estonia,100.0,nan,99.6,0.0,nan,0.4
Eswatini,97.5,74.8,80.3,2.5,25.2,19.7
Ethiopia,98.5,70.2,76.4,1.5,29.8,23.6
Federated States of Micronesia,nan,nan,78.6,nan,nan,21.4
Fiji,98.2,89.1,94.3,1.8,10.9,5.7
Finland,100.0,100.0,100.0,0.0,0.0,0.0
France,100.0,100.0,100.0,0.0,0.0,0.0
Gabon,97.2,55.3,93.1,2.8,44.7,6.9
Georgia,99.4,94.3,97.3,0.6,5.7,2.7
Germany,100.0,100.0,100.0,0.0,0.0,0.0
Ghana,98.7,83.8,92.4,1.3,16.2,7.6
Greece,100.0,100.0,100.0,0.0,0.0,0.0
Grenada,nan,nan,96.8,nan,nan,3.2
Guatemala,97.9,92.2,95.0,2.1,8.0,5.0
Guinea,99.5,76.9,85.2,0.5,23.1,14.8
Guinea-Bissau,90.6,59.1,73.1,9.4,40.9,26.9
Guyana,100.0,95.6,96.8,0.0,4.4,3.2
Haiti,91.9,56.1,76.5,8.1,43.9,23.5
Holy See,nan,nan,100.0,nan,nan,0.0
Honduras,100.0,90.7,96.1,0.0,9.3,3.9
Hungary,100.0,100.0,100.0,0.0,0.0,0.0
Iceland,100.0,100.0,100.0,0.0,0.0,0.0
India,96.9,94.7,95.5,3.1,5.3,4.5
Indonesia,98.2,86.8,93.3,1.8,13.2,6.7
Iran,99.8,98.1,99.4,0.2,1.9,0.6
Iraq,100.0,97.4,99.3,0.0,2.6,0.7
Ireland,97.0,98.1,97.4,3.0,1.9,2.6
Israel,100.0,100.0,100.0,0.0,0.0,0.0
Italy,nan,nan,99.9,nan,nan,0.1
Jamaica,98.3,93.9,96.4,1.7,6.1,3.6
Japan,nan,nan,99.1,nan,nan,0.1
Jordan,99.2,97.9,99.1,0.8,2.1,0.9
Kazakhstan,100.0,93.8,97.4,0.0,6.2,2.6
Kenya,91.3,63.3,71.2,8.7,36.7,28.8
Kiribati,97.2,63.1,82.0,2.8,36.9,18.0
Kosovo,nan,nan,nan,nan,nan,nan
Kuwait,nan,nan,100.0,nan,nan,0.0
Kyrgyzstan,100.0,89.9,93.6,0.0,10.1,6.4
Laos,97.1,84.1,88.8,2.9,15.9,11.2
Latvia,99.9,98.6,99.5,0.1,1.4,0.5
Lebanon,nan,nan,100.0,nan,nan,0.0
Lesotho,95.7,77.2,82.6,4.3,22.8,17.4
Liberia,96.2,70.6,84.0,3.8,29.4,16.0
Libya,nan,nan,99.9,nan,nan,0.1
Liechtenstein,nan,nan,100.0,nan,nan,0.0
Lithuania,100.0,93.8,98.0,0.0,6.2,2.0
Luxembourg,100.0,98.6,99.9,0.0,1.4,0.1
Madagascar,85.0,38.0,56.1,15.0,62.0,43.9
Malawi,96.7,91.0,92.0,3.3,9.0,8.0
Malaysia,99.4,90.7,97.5,0.6,9.3,2.5
Maldives,99.0,100.0,99.6,1.0,0.0,0.4
Mali,99.9,75.9,86.4,0.1,24.1,13.6
Malta,100.0,100.0,100.0,0.0,0.0,0.0
Marshall Islands,100.0,99.8,100.0,0.0,0.2,0.0
Mauritania,98.7,68.4,85.2,1.3,31.6,14.8
Mauritius,99.9,99.8,99.9,0.1,0.2,0.1
Mexico,100.0,98.3,99.7,0.0,1.7,0.3
Moldova,98.9,87.0,92.1,1.1,13.0,7.9
Monaco,100.0,nan,100.0,0.0,nan,0.0
Mongolia,98.4,64.2,87.6,1.6,35.8,12.4
Montenegro,100.0,98.2,99.4,0.0,1.8,0.6
Morocco,98.3,79.1,91.0,1.7,20.9,9.0
Mozambique,93.4,61.5,73.3,6.6,38.5,26.7
Namibia,98.9,83.2,91.4,1.1,16.8,8.6
Nauru,100.0,nan,100.0,0.0,nan,0.0
Nepal,92.7,94.4,94.1,7.3,5.6,5.9
Netherlands,100.0,100.0,100.0,0.0,0.0,0.0
New Zealand,100.0,100.0,100.0,0.0,0.0,0.0
Nicaragua,97.5,62.6,83.2,2.5,37.4,16.8
Niger,95.8,63.1,68.6,4.2,36.9,31.4
Nigeria,95.3,68.8,82.6,4.7,31.2,17.4
North Korea,97.8,89.1,94.5,2.2,10.9,5.5
North Macedonia,99.7,99.0,99.4,0.3,1.0,0.6
Norway,100.0,100.0,100.0,0.0,0.0,0.0
Oman,100.0,97.9,99.7,0.0,2.1,0.3
Pakistan,96.5,92.5,94.0,3.5,7.5,6.0
Palau,99.6,99.8,99.7,0.4,0.2,0.3
Panama,100.0,88.1,96.2,0.0,11.9,3.8
Papua New Guinea,86.2,41.5,47.5,13.8,58.5,52.5
Paraguay,100.0,100.0,100.0,0.0,0.0,0.0
Peru,97.2,82.4,94.0,2.8,17.6,6.0
Philippines,99.1,95.0,97.0,0.9,5.0,3.0
Poland,99.9,100.0,100.0,0.1,0.0,0.0
Portugal,100.0,99.7,99.9,0.0,0.3,0.1
Qatar,nan,nan,99.6,nan,nan,0.4
Republic of the Congo,97.5,56.4,84.2,2.5,43.6,15.8
Romania,100.0,100.0,100.0,0.0,0.0,0.0
Russia,99.1,93.1,97.6,0.9,6.9,2.4
Rwanda,92.3,80.7,82.7,7.7,19.3,17.3
Saint Kitts and Nevis,98.3,98.3,98.3,1.7,1.7,1.7
Saint Lucia,99.4,98.5,98.7,0.6,1.5,1.3
Saint Vincent and the Grenadines,nan,nan,95.1,nan,nan,4.9
Samoa,100.0,98.0,98.4,0.0,2.0,1.6
San Marino,nan,nan,100.0,nan,nan,0.0
Sao Tome and Principe,100.0,94.0,98.5,0.0,6.0,1.5
Saudi Arabia,nan,nan,100.0,nan,nan,0.0
Senegal,95.9,79.3,87.3,4.1,20.7,12.7
Serbia,99.7,99.4,99.5,0.3,0.6,0.5
Seychelles,nan,nan,96.2,nan,nan,3.8
Sierra Leone,92.5,58.0,72.8,7.5,42.0,27.2
Singapore,100.0,nan,100.0,0.0,nan,0.0
Slovakia,100.0,100.0,100.0,0.0,0.0,0.0
Slovenia,nan,nan,99.5,nan,nan,0.5
Solomon Islands,95.0,65.9,73.1,5.0,34.1,26.9
Somalia,96.4,73.7,84.2,3.6,26.3,15.8
South Korea,nan,nan,99.9,nan,nan,0.1
South Sudan,88.7,75.8,78.4,11.3,24.2,21.6
Spain,99.9,100.0,99.9,0.1,0.0,0.1
Sri Lanka,99.7,91.2,92.8,0.3,8.8,7.2
Sudan,99.0,80.7,87.1,1.0,19.3,12.9
Suriname,99.5,98.2,99.1,0.5,1.8,0.9
Sweden,99.8,99.7,99.8,0.2,0.3,0.2
Switzerland,100.0,100.0,100.0,0.0,0.0,0.0
Syria,99.6,100.0,99.8,0.4,0.7,0.2
Tajikistan,96.5,79.9,84.4,3.5,20.1,15.6
Tanzania,95.1,59.4,72.0,4.9,40.6,28.0
Thailand,100.0,100.0,100.0,0.0,0.0,0.0
The Bahamas,nan,nan,98.9,nan,nan,1.1
The Gambia,91.8,85.7,89.5,8.2,14.3,10.5
Timor-Leste,98.0,82.5,87.4,2.0,17.5,12.6
Togo,93.8,60.3,74.6,6.2,39.7,25.4
Tonga,99.8,99.6,99.6,0.2,0.4,0.4
Trinidad and Tobago,nan,nan,100.0,nan,nan,0.0
Tunisia,100.0,97.3,99.2,0.0,2.7,0.8
Turkey,99.1,98.7,99.0,0.9,1.3,1.0
Turkmenistan,100.0,100.0,100.0,0.0,0.0,0.0
Tuvalu,100.0,100.0,100.0,0.0,0.0,0.0
Uganda,92.5,80.0,83.1,7.5,20.0,16.9
Ukraine,99.4,100.0,99.6,0.6,0.0,0.4
United Arab Emirates,nan,nan,100.0,nan,nan,0.0
United Kingdom,100.0,100.0,100.0,0.0,0.0,0.0
United States,99.9,99.7,99.9,0.1,0.3,0.1
Uruguay,100.0,100.0,100.0,0.0,0.0,0.0
Uzbekistan,99.6,96.1,97.8,0.4,3.9,2.2
Vanuatu,100.0,89.7,92.3,0.0,10.3,7.7
Venezuela,nan,nan,94.2,nan,nan,5.8
Vietnam,99.2,95.5,96.9,0.8,4.5,3.1
Yemen,98.5,84.2,99.6,1.5,15.8,10.4
Zambia,90.2,56.6,71.6,9.8,43.4,28.4
Zimbabwe,97.9,66.9,76.9,2.1,33.1,23.1
