country,total population,male,female
Afghanistan,37.3,52.1,22.6
Albania,98.4,98.7,98.2
Algeria,81.4,87.4,75.3
Andorra,100.0,100.0,100.0
Angola,71.1,82.6,62.4
Antigua and Barbuda,99.0,98.4,99.4
Argentina,99.0,98.9,99.1
Armenia,99.8,99.8,99.7
Australia,nan,nan,nan
Austria,nan,nan,nan
Azerbaijan,99.8,99.9,99.7
Bahrain,97.5,99.9,94.9
Bangladesh,74.9,77.8,72.0
Barbados,99.6,99.6,99.6
Belarus,99.9,99.9,99.9
Belgium,nan,nan,nan
Belize,nan,nan,nan
Benin,45.8,56.9,35.0
Bhutan,70.9,77.9,62.8
Bolivia,92.5,96.5,88.6
Bosnia and Herzegovina,98.1,99.4,98.1
Botswana,88.5,88.0,88.9
Brazil,94.3,94.1,94.5
Brunei,97.6,98.3,96.9
Bulgaria,98.4,98.7,98.2
Burkina Faso,46.0,54.5,37.8
Burma,89.1,92.4,86.3
Burundi,74.7,81.3,68.4
Cabo Verde,90.8,94.2,87.4
Cambodia,83.9,88.4,79.8
Cameroon,77.1,82.6,71.6
Canada,nan,nan,nan
Central African Republic,37.4,49.5,25.8
Chad,26.8,35.4,18.2
Chile,97.0,97.1,97.0
China,96.8,98.5,95.2
Colombia,95.6,95.4,95.9
Comoros,62.0,67.0,56.9
Costa Rica,98.0,98.0,98.1
Cote d,89.9,93.1,86.7
Croatia,99.4,99.7,99.2
Cuba,99.7,99.6,99.7
Cyprus,99.4,99.6,99.2
Czechia,99.0,99.0,99.0
Democratic Republic of the Congo,80.0,89.5,70.8
Denmark,nan,nan,nan
Djibouti,nan,nan,nan
Dominica,nan,nan,nan
Dominican Republic,95.2,95.1,95.3
Ecuador,94.5,94.9,94.0
Egypt,73.1,78.8,67.4
El Salvador,89.1,91.3,87.3
Equatorial Guinea,95.3,97.4,93.0
Eritrea,76.6,84.4,68.9
Estonia,99.9,99.9,99.9
Eswatini,88.4,88.3,88.5
Ethiopia,51.8,57.2,44.4
Federated States of Micronesia,nan,nan,nan
Fiji,99.1,99.1,99.1
Finland,nan,nan,nan
France,nan,nan,nan
Gabon,85.5,86.2,84.7
Georgia,99.6,99.7,99.5
Germany,nan,nan,nan
Ghana,79.0,83.5,74.5
Greece,97.9,98.5,97.4
Grenada,98.6,98.6,98.6
Guatemala,83.3,87.7,79.3
Guinea,45.3,61.2,31.3
Guinea-Bissau,52.9,67.0,39.9
Guyana,88.8,89.3,88.4
Haiti,61.7,65.3,58.3
Holy See,nan,nan,nan
Honduras,88.5,88.2,88.7
Hungary,99.1,99.1,99.1
Iceland,nan,nan,nan
India,74.4,82.4,65.8
Indonesia,96.0,97.4,94.6
Iran,88.7,92.4,88.7
Iraq,85.6,91.2,79.9
Ireland,nan,nan,nan
Israel,97.8,98.7,96.8
Italy,99.2,99.4,99.0
Jamaica,88.7,84.0,93.1
Japan,nan,nan,nan
Jordan,98.4,98.7,98.4
Kazakhstan,99.8,99.8,99.7
Kenya,82.6,85.5,79.8
Kiribati,nan,nan,nan
Kosovo,nan,nan,nan
Kuwait,96.5,97.1,95.4
Kyrgyzstan,99.6,99.7,99.5
Laos,87.1,91.4,81.4
Latvia,99.9,99.9,99.9
Lebanon,95.1,96.9,93.3
Lesotho,81.0,72.9,88.8
Liberia,48.3,62.7,34.1
Libya,91.0,96.7,85.6
Liechtenstein,nan,nan,nan
Lithuania,99.8,99.8,99.8
Luxembourg,nan,nan,nan
Madagascar,77.3,78.8,75.8
Malawi,67.3,71.2,63.7
Malaysia,95.0,96.2,93.6
Maldives,97.9,97.6,98.4
Mali,35.5,46.2,25.7
Malta,94.9,93.4,96.4
Marshall Islands,98.3,98.3,98.2
Mauritania,67.0,71.8,62.2
Mauritius,92.2,93.5,90.5
Mexico,95.2,96.1,94.5
Moldova,99.6,99.7,99.5
Monaco,nan,nan,nan
Mongolia,99.2,99.1,99.2
Montenegro,99.0,99.4,98.5
Morocco,75.9,84.8,67.4
Mozambique,63.4,74.1,53.8
Namibia,92.3,90.6,92.3
Nauru,nan,nan,nan
Nepal,71.2,81.0,63.3
Netherlands,nan,nan,nan
New Zealand,nan,nan,nan
Nicaragua,82.6,82.4,82.8
Niger,37.3,45.8,29.0
Nigeria,62.0,71.3,52.7
North Korea,100.0,100.0,100.0
North Macedonia,98.4,99.1,97.6
Norway,nan,nan,nan
Oman,95.7,97.0,92.7
Pakistan,58.0,69.3,46.5
Palau,96.6,96.8,96.3
Panama,95.7,98.8,95.4
Papua New Guinea,64.2,65.6,62.8
Paraguay,94.5,94.9,94.2
Peru,94.5,97.0,92.0
Philippines,96.3,95.7,96.9
Poland,99.8,99.8,99.8
Portugal,95.9,97.8,95.9
Qatar,93.5,92.4,94.7
Republic of the Congo,80.6,85.9,75.4
Romania,98.9,99.1,98.7
Russia,99.7,99.7,99.7
Rwanda,75.9,78.7,73.3
Saint Kitts and Nevis,nan,nan,nan
Saint Lucia,nan,nan,nan
Saint Vincent and the Grenadines,nan,nan,nan
Samoa,99.1,99.0,99.3
San Marino,99.9,99.9,99.9
Sao Tome and Principe,94.8,96.5,91.1
Saudi Arabia,97.6,98.6,96.0
Senegal,56.3,68.4,45.4
Serbia,99.5,99.9,99.1
Seychelles,95.9,95.4,96.4
Sierra Leone,47.7,55.3,39.8
Singapore,97.5,98.9,96.1
Slovakia,nan,nan,nan
Slovenia,99.7,99.7,99.7
Solomon Islands,nan,nan,nan
Somalia,nan,nan,nan
South Korea,nan,nan,nan
South Sudan,34.5,40.3,28.9
Spain,98.6,99.0,98.2
Sri Lanka,92.3,93.0,91.6
Sudan,60.7,65.4,56.1
Suriname,95.0,96.5,93.4
Sweden,nan,nan,nan
Switzerland,nan,nan,nan
Syria,86.4,91.7,81.0
Tajikistan,99.8,99.8,99.7
Tanzania,81.8,85.5,78.2
Thailand,94.1,95.5,92.8
The Bahamas,nan,nan,nan
The Gambia,58.1,65.2,51.2
Timor-Leste,68.1,71.9,64.2
Togo,66.5,80.0,55.1
Tonga,99.4,99.4,99.5
Trinidad and Tobago,99.0,99.2,98.7
Tunisia,82.7,89.1,82.7
Turkey,96.7,99.1,94.4
Turkmenistan,99.7,99.8,99.6
Tuvalu,nan,nan,nan
Uganda,79.0,84.0,74.3
Ukraine,100.0,100.0,100.0
United Arab Emirates,98.1,98.8,97.2
United Kingdom,nan,nan,nan
United States,nan,nan,nan
Uruguay,98.8,98.5,99.0
Uzbekistan,100.0,100.0,100.0
Vanuatu,89.1,89.8,88.4
Venezuela,97.5,97.4,97.7
Vietnam,95.8,97.0,94.6
Yemen,70.1,85.1,55.0
Zambia,86.7,90.6,83.1
Zimbabwe,89.7,88.3,89.7
